id,action,status,old_contam,new_contam,old_overlap,new_overlap,attempt_used,date,url,old_len,new_len,reviewer_note
vorc0h,resummarize,changed,0,0,0.100,0.100,3,2026-05-08,https://crypto.news/ondo-price-breaks-0-30-resistance-amid-rwa-growth-can-it-revisit-january-highs/,563,679,summary contains an incomplete sentence that should either be removed or regenerated
vuzuso,keep,kept,0,0,0.000,0.000,0,2026-05-07,https://crypto.news/sofi-made-121m-in-crypto-but-kept-almost-none/,156,156,
o5ifws,remove,removed,,,,,,2026-05-08,https://crypto.news/coinbase-perps-shake-up-hits-kaito-cake-vet-and-more/,,,
migini,remove,removed,,,,,,2026-05-11,https://www.coindesk.com/markets/2026/05/11/new-fed-chair-base-s-azul-upgrade-corporate-earnings-crypto-week-ahead,,,
ptkja6,keep,kept,0,0,0.167,0.167,0,2026-05-03,https://crypto.news/crypto-market-recap-what-happened-today-5/,756,756,
afw2y4,resummarize,changed,0,0,0.167,0.333,1,2026-05-06,https://coingeek.com/uk-sets-new-rules-for-fund-tokenization-under-current-regulations/,758,677,summary contains an incomplete sentence that should either be removed or regenerated
lx2hoo,keep,kept,0,0,0.125,0.125,0,2026-05-06,https://crypto.news/rootdata-maps-30-hyperliquid-web3-partners-as-it-builds-an-on-chain-liquidity-os/,220,220,
hw609q,keep,kept,0,0,0.000,0.000,0,2026-05-06,https://www.chainalysis.com/blog/blockchain-infrastructure-tradfi-tokenization/,502,502,
7ttins,keep,kept,0,0,0.143,0.143,0,2026-05-07,https://www.finextra.com/pressarticle/109768/squads-raises-18m-to-build-stablecoin-operating-system,255,255,
6oi25l,resummarize,changed,0,0,0.100,0.200,2,2026-05-08,https://crypto.news/sanders-calls-for-fed-rate-cuts-as-crypto-watches-policy-rift-widen/,529,539,summary contains an incomplete sentence that should either be removed or regenerated
rvwy8x,resummarize,changed,0,0,0.100,0.600,1,2026-05-08,https://crypto.news/metas-usdc-pilot-draws-fire-as-senator-warren-demands-stablecoin-transparency/,277,650,
9m12bv,resummarize,changed,0,0,0.100,0.600,1,2026-05-08,https://www.coindesk.com/policy/2026/05/08/kraken-parent-goes-for-the-occ-charter-in-big-to-become-a-federal-crypto-bank,555,612,
8dcfhl,resummarize,changed,0,0,0.154,0.692,1,2026-05-08,https://www.fintechwrapup.com/p/the-real-reason-cross-border-payments,248,769,
9sbtlm,keep,kept,0,0,0.000,0.000,0,2026-05-09,https://crypto.news/jpmorgan-makes-ai-core-infrastructure-spending/,236,236,
7veomj,resummarize,changed,0,0,0.538,0.538,1,2026-05-02,https://www.esma.europa.eu/press-news/esma-news/joint-committee-annual-report-highlights-digitalisation-cyber-resilience-and,580,704,summary contains an incomplete sentence that should either be removed or regenerated
hy18e5,resummarize,changed,0,0,0.750,0.750,1,2026-05-02,https://www.esma.europa.eu/press-news/esma-news/esma-launches-call-evidence-structure-european-equity-markets,693,629,summary contains an incomplete sentence that should either be removed or regenerated
kbm4rl,remove,removed,,,,,,2026-05-04,https://coingeek.com/prediction-markets-under-fire-as-insiders-game-the-system/,,,
6c6h7j,resummarize,unchanged,0,0,0.625,0.625,0,2026-05-04,https://crypto.news/bitget-cfd-daily-volume-hits-record-8b-on-gold-surge/,726,726,summary contains an incomplete sentence that should either be removed or regenerated
