id,idx,date,domain,confidence,score,reasons,desc_len,url,initiative,description_head
cn6js8,7,2026-05-11,crypto.news,medium,6,you_might_also_like,235,https://crypto.news/canton-network-builder-nears-300m-raise-led-by-a16z-crypto/,Canton Network builder nears $300M raise led by a16z crypto,"You might also like: Phong Le says Strategy is more than a Bitcoin balance sheet Canton Network draws institutional attention Canton Network is designed for tokenized assets, payments, and settlement activity where privacy is required."
vaf342,9,2026-05-10,www.theblock.co,medium,4,site_nav,453,https://www.theblock.co/post/400647/canton-network-developer-digital-asset-eyes-300-million-raise-at-2-billion-valuation-led-by-a16z-crypto-bloomberg,"Canton Network developer Digital Asset eyes $300 million raise at $2 billion valuation, led by a16z crypto: Bloomberg","Exodus launches non-custodial payments as it expands beyond core wallet product Dec 09, 2025, 9:30AM EST • Infrastructure © 2026 the block. Digital Asset raised $135 million in June 2025 in a round led by DRW Venture Capital and Tradeweb Markets, with participation from Goldman Sachs, Citadel Securi"
1rt2oq,28,2026-05-08,www.finextra.com,medium,4,site_nav,260,https://www.finextra.com/pressarticle/109771/unlimit-partners-with-decentro-to-boost-cross-border-payments-in-india,Unlimit partners with Decentro to boost cross-border payments in India,"Unlimit, the global financial infrastructure platform, today announced that Decentro, India’s leading fintech enabler, has integrated the platform’s universal operating layer to extend its cross-border payment capabilities into new markets and payment methods."
645ruw,43,2026-05-08,www.coindesk.com,medium,4,site_nav,508,https://www.coindesk.com/business/2026/05/08/ecb-s-lagarde-warns-tether-and-circle-stablecoins-risk-digital-dollarisation-in-europe,ECB's Lagarde’s digital euro warning: Why Europe shouldn’t just copy the U.S. stablecoin model,"Speaking at the Bank of Spain's LatAm Economic Forum in Madrid, ECB President Christine Lagarde formally cautioned against Europe adopting a private stablecoin strategy modeled on U.S. dollar-pegged tokens, citing the March 2023 Silicon Valley Bank episode—when Circle's $3.3 billion reserve exposure"
vorc0h,47,2026-05-08,crypto.news,medium,4,site_nav,531,https://crypto.news/ondo-price-breaks-0-30-resistance-amid-rwa-growth-can-it-revisit-january-highs/,"Ondo price breaks $0.30 resistance amid RWA growth, can it revisit January highs?","ONDO also benefited earlier this week after being selected for the Depository Trust & Clearing Corporation’s Industry Working Group, an initiative focused on exploring how tokenization could modernize capital markets infrastructure. By Rony Roy May 8, 2026 at 2:40 PM UTC Edited by Rony Roy Markets S"
ukl45r,49,2026-05-08,www.coindesk.com,medium,4,site_nav,462,https://www.coindesk.com/markets/2026/05/08/coinbase-bulls-point-to-crypto-legislation-and-stablecoins-after-earnings-miss,Coinbase bulls point to crypto legislation and stablecoins after earnings miss,"The strategy includes stablecoins, derivatives, payments and tokenized assets alongside traditional crypto trading. Several firms, including JPMorgan, Clear Street and Oppenheimer, remain positive on the stock, citing growth in stablecoins, derivatives, prediction markets and Coinbase’s broader “Eve"
1qcu1g,51,2026-05-08,crypto.news,medium,4,site_nav,407,https://crypto.news/leading-trends-in-the-uk-currency-and-cryptocurrency-markets-in-2026/,Leading trends in the UK currency and cryptocurrency markets in 2026,"UK authorities are extending oversight across exchanges, stablecoins, and custody services, gradually integrating digital assets into a more formal financial framework, a trend also highlighted by experts at TradingPedia . Regulation is expanding as authorities bring exchanges, stablecoins, and cust"
i2gy9y,60,2026-05-08,crypto.news,medium,4,site_nav,470,https://crypto.news/21shares-tcan-etf-brings-canton-network-exposure-to-u-s-investors/,21Shares TCAN ETF brings Canton Network exposure to U.S. investors,"Canton targets institutional settlement, privacy, and tokenized markets backed by banks and technology firms globally. Andres Valencia, EVP of Investment Management at 21Shares, said, “The Canton Network has attracted significant institutional interest given its focus on privacy-preserving infrastru"
lne9yv,62,2026-05-08,crypto.news,medium,4,read_more,620,https://crypto.news/polygon-reduces-block-time-amid-stablecoin-push/,Polygon reduces block time amid stablecoin push,2 hours ago News Read more MoonPay says stablecoin regulation opened the door but infrastructure must follow MoonPay says stablecoin regulation opened the door but infrastructure must follow 2 days ago News Read more US banks reject CLARITY Act stablecoin deal days before Senate vote US banks reject
cusjwx,66,2026-05-08,crypto.news,medium,4,site_nav,298,https://crypto.news/coinbase-stock-falls-as-q1-loss-hits-nearly-400m/,Coinbase stock falls as Q1 loss hits nearly $400M,"Related crypto.news coverage said Coinbase had already framed its Q4 loss around a wider push into derivatives, stablecoins, and new markets. Another related crypto.news update covered Agentic.market, where AI agents use USDC through x402 payments. Coinbase stock falls as Q1 loss hits nearly $400M"
b873y2,69,2026-05-07,www.chainalysis.com,medium,4,site_nav,362,https://www.chainalysis.com/blog/crypto-prediction-markets/,Crypto Prediction Markets Explained: How the Blockchain Is Reshaping Forecasting,"Despite regulatory uncertainty, major financial players like the CME Group and crypto-native giants like Coinbase are building infrastructure to capture this volume, signaling a shift toward a more mature, regulated market structure. Cryptocurrency settlement: Markets typically use stablecoins (like"
iw2r6l,72,2026-05-07,www.finextra.com,medium,4,site_nav,349,https://www.finextra.com/pressarticle/109766/mastercard-and-yellow-card-target-stablecoin-payments-in-eemea,Mastercard and Yellow Card target stablecoin payments in EEMEA,"Mastercard and Yellow Card, a licensed stablecoin infrastructure provider operating primarily across Africa, with additional capabilities in select emerging markets, have announced a strategic partnership to accelerate stablecoin-enabled payment innovation across Eastern Europe, the Middle East, and"
x21e3y,75,2026-05-07,www.coindesk.com,medium,4,site_nav,338,https://www.coindesk.com/markets/2026/05/07/coinbase-stock-drops-4-after-surprise-1q-miss-as-crypto-trading-slows,Coinbase stock declines 5% after missing Q1 estimates on crypto slowdown,"Even as it cuts roughly 14% of its workforce, Coinbase is leaning on growth in derivatives, prediction markets and stablecoin activity to reduce its reliance on volatile trading fees. Crypto markets weakened sharply as bitcoin BTC $ 80,814.36 and other digital assets fell. Coinbase (COIN) news: weak"
kv6awm,86,2026-05-07,www.theblock.co,medium,4,site_nav,466,https://www.theblock.co/post/400436/crypto-etf-boom-continues-with-debut-of-first-fund-to-track-canton,Crypto ETF boom continues with debut of first fund to track Canton,"Exodus launches non-custodial payments as it expands beyond core wallet product Dec 09, 2025, 9:30AM EST • Infrastructure © 2026 the block. ""The Canton Network has attracted significant institutional interest given its focus on privacy-preserving infrastructure for capital markets,"" said Andres Vale"
ipnmh3,98,2026-05-07,crypto.news,medium,6,you_might_also_like,541,https://crypto.news/bittrex-asks-court-to-void-24m-sec-settlement-over-crypto-stance/,Bittrex asks court to void $24M SEC settlement over crypto stance,"You might also like: BNY brings $59T custody power to Abu Dhabi crypto push “Two-and-a-half years after extracting a settlement from a bankrupt cryptocurrency exchange premised on the legal theory that the tokens that traded on the exchange were securities, the SEC has (a) conceded that its legal th"
7vgqzp,104,2026-05-07,www.coindesk.com,medium,4,site_nav,545,https://www.coindesk.com/markets/2026/05/07/ripple-jpmorgan-settle-first-cross-border-tokenized-treasury-redemption-on-xrp-ledger,"Ripple, JPMorgan settle first cross-border tokenized Treasury redemption on XRP Ledger","The pilot underscores how linking public blockchains with interbank settlement rails could enable 24/7 global markets, as tokenized deposit volumes grow and DTCC prepares to launch its own tokenization service. ""By connecting public blockchain infrastructure with interbank settlement rails, Ondo, Ki"
